Item_id,cluster_no,Item_name
36,0,ice cream
24,1,paper towels
7,1,sandwich bags
33,1,toilet paper
15,1,aluminum foil
45,2,cauliflower
42,2,cucumbers
10,2,carrots
23,3,tea
43,3,coffee
9,3,soda
38,3,juice
25,4,cherries
32,4,apples
20,4,grapefruit
37,5,dinner rolls
39,5,sandwich loaves
17,6,beef
6,6,poultry
47,6,pork
3,7,pet items
35,8,soap
41,8,ketchup
31,8,pasta
46,8,bananas
30,8,flour
29,8,hand soap
1,8,sugar
27,8,dishwashingÂ 
4,8,baby items
5,8,waffles
8,8,butter
11,8,cereals
12,8,shampoo
28,8,canned vegetables
14,8,eggs
48,8,yogurt
18,8,laundry detergent
19,8,shaving cream
21,8,cheeses
22,8,frozen vegetables
26,8,spaghetti sauce
16,8,milk
44,9,broccoli
2,9,lettuce
34,10,tortillas
13,10,bagels
40,11,berries
