Item_id,customer_id,Item_name
1,31625,sugar
2,31625,lettuce
3,154960,pet items
4,5289,baby items
5,217277,waffles
6,334664,poultry
7,175865,sandwich bags
8,151926,butter
9,269335,soda
10,618914,carrots
11,367872,cereals
12,557904,shampoo
13,653800,bagels
14,172120,eggs
15,143741,aluminum foil
16,73071,milk
17,366155,beef
18,917199,laundry detergent
19,31625,shaving cream
20,885474,grapefruit
21,884172,cheeses
22,1199670,frozen vegetables
23,920002,tea
24,189913,paper towels
25,68282,cherries
26,967573,spaghetti sauce
27,956666,dishwashingÂ 
28,204624,canned vegetables
29,394348,hand soap
30,21779,flour
31,289360,pasta
32,109578,apples
33,1310207,toilet paper
34,305916,tortillas
35,450482,soap
36,269335,ice cream
37,46757,dinner rolls
38,255546,juice
39,599172,sandwich loaves
40,38872,berries
41,133355,ketchup
42,80215,cucumbers
43,996380,coffee
44,31625,broccoli
45,1198106,cauliflower
46,1218645,bananas
47,384935,pork
48,335841,yogurt
